epoch,train loss,train dice,train bce,valid loss,valid dice,valid bce
1,1.935,0.999,0.556,1.574,0.996,0.578
2,1.824,1.0,0.423,1.386,1.0,0.386
3,1.448,1.0,0.049,1.065,1.0,0.065
4,1.24,0.999,0.027,1.022,0.999,0.023
5,1.208,0.946,0.01,0.972,0.958,0.015
6,1.134,0.85,0.007,0.887,0.874,0.013
7,1.081,0.905,0.017,0.883,0.863,0.02
8,1.057,0.812,0.017,0.821,0.804,0.018
9,1.015,0.827,0.048,0.82,0.792,0.028
10,1.049,0.815,0.035,0.798,0.775,0.023
11,1.004,0.787,0.019,0.99,0.959,0.031
12,1.066,0.906,0.013,0.815,0.793,0.021
13,1.013,0.783,0.011,0.802,0.783,0.019
14,1.024,0.83,0.008,0.833,0.813,0.02
15,1.008,0.84,0.019,0.772,0.749,0.023
16,0.99,0.785,0.022,0.79,0.765,0.025
17,1.027,0.914,0.034,0.785,0.762,0.023
18,0.986,0.577,0.017,0.83,0.81,0.02
19,1.004,0.942,0.017,0.78,0.76,0.021
20,0.987,0.869,0.032,0.773,0.751,0.022
21,0.995,0.888,0.016,0.757,0.736,0.021
22,1.005,0.756,0.012,0.779,0.757,0.022
23,0.994,0.909,0.014,0.802,0.782,0.02
24,0.992,0.744,0.024,0.774,0.749,0.025
25,0.981,0.838,0.026,0.773,0.752,0.021
26,0.959,0.728,0.015,0.748,0.726,0.022
27,0.951,0.778,0.021,0.734,0.709,0.025
28,0.947,0.852,0.019,0.665,0.648,0.018
29,0.936,0.762,0.02,0.69,0.671,0.019
30,0.915,0.793,0.023,0.68,0.657,0.022
31,0.908,0.715,0.015,0.656,0.638,0.018
32,0.892,0.829,0.011,0.641,0.621,0.02
33,0.891,0.789,0.015,0.619,0.599,0.02
34,0.865,0.629,0.039,0.614,0.596,0.018
35,0.847,0.433,0.017,0.599,0.582,0.017
36,0.842,0.7,0.015,0.772,0.726,0.045
37,0.953,0.82,0.064,0.753,0.717,0.036
38,0.934,0.856,0.013,0.631,0.613,0.018
39,0.859,0.789,0.011,0.593,0.578,0.014
40,0.829,0.694,0.009,0.625,0.608,0.017
41,0.84,0.297,0.011,0.569,0.551,0.018
42,0.822,0.655,0.014,0.57,0.554,0.016
43,0.828,0.829,0.032,0.572,0.555,0.018
44,0.792,0.501,0.025,0.559,0.542,0.017
45,0.774,0.446,0.014,0.549,0.531,0.017
46,0.78,0.512,0.025,0.564,0.544,0.019
47,0.782,0.4,0.009,0.549,0.532,0.018
48,0.79,0.889,0.021,0.652,0.618,0.034
49,0.814,0.841,0.015,0.545,0.53,0.015
50,0.756,0.807,0.013,0.543,0.525,0.018
51,0.752,0.711,0.009,0.521,0.504,0.017
52,0.751,0.949,0.004,0.632,0.605,0.027
53,0.801,0.492,0.026,0.572,0.552,0.02
54,0.828,0.804,0.023,0.599,0.578,0.021
55,0.821,0.356,0.014,0.608,0.593,0.016
56,0.785,0.611,0.015,0.562,0.539,0.023
57,0.778,0.87,0.026,0.556,0.538,0.018
58,0.753,0.618,0.012,0.531,0.514,0.017
59,0.755,0.843,0.011,0.574,0.557,0.017
60,0.762,0.485,0.023,0.503,0.489,0.015
61,0.745,0.554,0.008,0.579,0.564,0.015
62,0.786,0.898,0.013,0.59,0.568,0.022
63,0.789,0.575,0.015,0.538,0.523,0.015
64,0.732,0.318,0.007,0.552,0.536,0.016
65,0.792,0.365,0.015,0.502,0.488,0.013
66,0.724,0.443,0.011,0.522,0.501,0.021
67,0.704,0.487,0.011,0.49,0.474,0.017
68,0.695,0.793,0.016,0.49,0.473,0.017
69,0.706,0.44,0.017,0.498,0.484,0.015
70,0.67,0.673,0.013,0.482,0.465,0.017
71,0.693,0.431,0.022,0.494,0.479,0.015
72,0.695,0.304,0.017,0.48,0.465,0.016
73,0.699,0.522,0.011,0.464,0.45,0.014
74,0.725,0.588,0.014,0.472,0.46,0.012
75,0.71,0.746,0.018,0.48,0.464,0.017
76,0.714,0.605,0.009,0.489,0.474,0.016
77,0.708,0.506,0.018,0.506,0.493,0.013
78,0.678,0.541,0.009,0.504,0.488,0.016
79,0.675,0.507,0.04,0.476,0.461,0.015
80,0.684,0.543,0.012,0.482,0.467,0.015
81,0.661,0.815,0.012,0.462,0.448,0.013
82,0.645,0.475,0.013,0.431,0.418,0.013
83,0.643,0.615,0.016,0.48,0.464,0.016
84,0.636,0.659,0.022,0.457,0.441,0.016
85,0.631,0.484,0.013,0.426,0.414,0.012
86,0.625,0.293,0.008,0.424,0.409,0.015
87,0.662,0.423,0.009,0.433,0.421,0.012
88,0.648,0.579,0.011,0.417,0.405,0.012
89,0.631,0.836,0.019,0.442,0.429,0.013
90,0.654,0.493,0.01,0.44,0.427,0.014
91,0.618,0.337,0.02,0.425,0.412,0.013
92,0.623,0.491,0.013,0.428,0.414,0.014
93,0.612,0.361,0.022,0.407,0.395,0.011
94,0.635,0.518,0.013,0.415,0.402,0.013
95,0.619,0.288,0.009,0.409,0.397,0.011
96,0.612,0.62,0.015,0.402,0.391,0.012
97,0.607,0.598,0.009,0.395,0.383,0.012
98,0.614,0.64,0.007,0.416,0.405,0.011
99,0.638,0.319,0.014,0.435,0.423,0.012
100,0.605,0.49,0.005,0.395,0.383,0.012
101,0.61,0.462,0.013,0.392,0.382,0.01
102,0.613,0.569,0.014,0.424,0.412,0.012
103,0.637,0.342,0.013,0.386,0.374,0.012
104,0.596,0.257,0.008,0.395,0.383,0.012
105,0.597,0.479,0.016,0.392,0.379,0.013
106,0.604,0.465,0.008,0.401,0.389,0.011
107,0.599,0.612,0.017,0.377,0.365,0.012
108,0.616,0.246,0.002,0.419,0.406,0.013
109,0.745,0.61,0.016,0.48,0.467,0.012
110,0.687,0.936,0.014,0.444,0.433,0.012
111,0.67,0.583,0.006,0.417,0.404,0.013
112,0.637,0.542,0.006,0.405,0.394,0.011
113,0.618,0.547,0.01,0.406,0.394,0.012
114,0.6,0.611,0.012,0.393,0.381,0.012
115,0.588,0.48,0.019,0.408,0.395,0.013
116,0.59,0.391,0.03,0.373,0.359,0.014
117,0.594,0.533,0.009,0.362,0.351,0.011
118,0.588,0.743,0.011,0.357,0.346,0.011
119,0.585,0.692,0.014,0.358,0.346,0.012
120,0.588,0.438,0.015,0.34,0.33,0.01
121,0.578,0.384,0.012,0.348,0.338,0.01
122,0.566,0.62,0.01,0.361,0.35,0.011
123,0.616,0.733,0.012,0.392,0.379,0.013
124,0.637,0.88,0.01,0.414,0.404,0.01
125,0.626,0.574,0.008,0.377,0.363,0.013
126,0.605,0.413,0.007,0.428,0.417,0.011
127,0.613,0.493,0.015,0.369,0.358,0.011
128,0.585,0.64,0.015,0.376,0.365,0.011
129,0.581,0.543,0.007,0.375,0.362,0.013
130,0.573,0.623,0.009,0.393,0.381,0.012
